,Perspective on the community,Evidence of engagement
0,data produced by contributors,none
1,contributors producing data,object of study - indirect
2,OSM as a data source,none
3,a diverse community,contribution
4,contributors producing data,object of study - indirect
5,OSM as a data source,none
6,OSM as a data source,acknowledgement
7,a diverse community,acknowledgement
8,a diverse community,object of study - indirect
9,contributors producing data,meaningful development
10,contributors producing data,contribution
11,contributors producing data,none
12,a social product,contribution
13,data produced by contributors,none
14,a unified community,none
15,data produced by contributors,none
16,contributors producing data,none
17,OSM as a data source,none
18,data produced by contributors,none
19,contributors producing data,none
20,contributors producing data,occasional development
21,contributors producing data,object of study - indirect
22,contributors producing data,contribution
23,a unified community,occasional development
24,a unified community,object of study - indirect
25,contributors producing data,none
26,data produced by contributors,meaningful development
27,a social product,object of study - direct
28,OSM as a data source,none
29,OSM as a data source,none
30,data produced by contributors,none
31,data produced by contributors,meaningful development
32,data produced by contributors,contribution
33,data produced by contributors,occasional development
34,a social product,none
35,data produced by contributors,none
36,OSM as a data source,none
37,a social product,object of study - direct
38,a social product,object of study - indirect
39,contributors producing data,none
40,OSM as a data source,none
41,OSM as a data source,none
42,OSM as a data source,none
43,OSM as a data source,none
44,OSM as a data source,none
45,a diverse community,acknowledgement
46,a social product,object of study - indirect
47,a diverse community,meaningful development
48,contributors producing data,meaningful development
49,contributors producing data,object of study - indirect
50,contributors producing data,meaningful development
51,OSM as a data source,none
52,data produced by contributors,none
53,data produced by contributors,participation
54,a collaborative project based on contributors,occasional development
55,OSM as a data source,object of study - indirect
56,OSM as a data source,none
57,data produced by contributors,none
58,data produced by contributors,occasional development
59,OSM as a data source,none
60,OSM as a data source,none
61,data produced by contributors,none
62,a collaborative project based on contributors,none
63,a collaborative project based on contributors,none
64,data produced by contributors,none
65,data produced by contributors,acknowledgement
66,a social product,object of study - direct
67,a social product,object of study - indirect
68,a social product,acknowledgement
69,a collaborative project based on contributors,object of study - direct
70,a collaborative project based on contributors,acknowledgement
71,a collaborative project based on contributors,contribution
72,contributors producing data,object of study - direct
73,contributors producing data,object of study - indirect
74,OSM as a data source,acknowledgement
75,OSM as a data source,none
76,OSM as a data source,none
77,data produced by contributors,contribution
78,data produced by contributors,acknowledgement
79,contributors producing data,object of study - indirect
80,data produced by contributors,occasional development
81,a unified community,acknowledgement
82,a unified community,meaningful development
83,a unified community,contribution
84,OSM as a data source,none
85,OSM as a data source,none
86,OSM as a data source,none
87,data produced by contributors,acknowledgement
88,OSM as a data source,none
89,data produced by contributors,none
90,a social product,acknowledgement
91,a social product,meaningful development
92,a social product,object of study - indirect
93,a social product,participation
94,data produced by contributors,acknowledgement
95,a social product,object of study - indirect
96,OSM as a data source,none
97,a collaborative project based on contributors,occasional development
98,OSM as a data source,none
99,OSM as a data source,none
100,OSM as a data source,none
101,a social product,none
102,data produced by contributors,acknowledgement
103,data produced by contributors,occasional development
104,OSM as a data source,none
105,a social product,object of study - direct
106,OSM as a data source,none
107,OSM as a data source,none
108,data produced by contributors,none
109,data produced by contributors,none
110,OSM as a data source,acknowledgement
111,data produced by contributors,occasional development
112,data produced by contributors,occasional development
113,a collaborative project based on contributors,meaningful development
114,OSM as a data source,occasional development
115,contributors producing data,meaningful development
116,contributors producing data,object of study - direct
117,a social product,none
118,a social product,occasional development
119,a social product,acknowledgement
120,a social product,object of study - indirect
121,a collaborative project based on contributors,object of study - indirect
122,data produced by contributors,none
123,a social product,acknowledgement
124,a social product,occasional development
125,contributors producing data,meaningful development
126,contributors producing data,object of study - indirect
127,data produced by contributors,occasional development
128,a collaborative project based on contributors,none
129,data produced by contributors,none
130,OSM as a data source,none
131,contributors producing data,meaningful development
132,data produced by contributors,object of study - direct
133,OSM as a data source,none
134,OSM as a data source,none
135,a social product,occasional development
136,a social product,object of study - direct
137,a social product,object of study - indirect
138,contributors producing data,acknowledgement
139,contributors producing data,object of study - indirect
140,contributors producing data,participation
141,OSM as a data source,none
142,a social product,acknowledgement
143,a social product,object of study - indirect
144,a social product,occasional development
145,contributors producing data,object of study - indirect
146,a social product,object of study - indirect
147,contributors producing data,meaningful development
148,contributors producing data,object of study - indirect
149,a social product,object of study - direct
150,a social product,contribution
151,a social product,acknowledgement
152,data produced by contributors,none
153,OSM as a data source,none
154,contributors producing data,meaningful development
155,contributors producing data,contribution
156,OSM as a data source,occasional development
157,OSM as a data source,none
158,OSM as a data source,none
159,data produced by contributors,none
160,data produced by contributors,none
161,OSM as a data source,occasional development
162,a diverse community,occasional development
163,data produced by contributors,none
164,OSM as a data source,none
165,contributors producing data,object of study - direct
166,contributors producing data,contribution
167,OSM as a data source,none
168,OSM as a data source,none
169,OSM as a data source,none
170,data produced by contributors,none
171,data produced by contributors,occasional development
172,OSM as a data source,none
173,OSM as a data source,none
174,OSM as a data source,none
175,data produced by contributors,none
176,a unified community,object of study - indirect
177,contributors producing data,object of study - indirect
178,OSM as a data source,none
179,data produced by contributors,none
180,OSM as a data source,none
181,data produced by contributors,none
182,OSM as a data source,none
183,OSM as a data source,none
184,data produced by contributors,none
185,OSM as a data source,none
186,contributors producing data,contribution
187,OSM as a data source,none
188,OSM as a data source,acknowledgement
189,a unified community,object of study - indirect
190,a diverse community,object of study - indirect
191,a diverse community,acknowledgement
192,OSM as a data source,none
193,OSM as a data source,none
194,OSM as a data source,none
195,a social product,object of study - indirect
196,OSM as a data source,none
197,data produced by contributors,none
198,OSM as a data source,none
199,OSM as a data source,none
200,data produced by contributors,none
201,data produced by contributors,meaningful development
202,data produced by contributors,occasional development
203,data produced by contributors,occasional development
204,data produced by contributors,occasional development
205,data produced by contributors,none
206,data produced by contributors,contribution
207,contributors producing data,meaningful development
208,data produced by contributors,none
209,OSM as a data source,none
210,OSM as a data source,none
211,data produced by contributors,none
212,OSM as a data source,none
213,contributors producing data,object of study - direct
214,contributors producing data,contribution
215,OSM as a data source,none
216,OSM as a data source,none
217,data produced by contributors,none
218,OSM as a data source,acknowledgement
219,OSM as a data source,acknowledgement
220,OSM as a data source,none
221,a collaborative project based on contributors,occasional development
222,data produced by contributors,contribution
223,data produced by contributors,meaningful development
224,data produced by contributors,none
225,data produced by contributors,none
226,a diverse community,contribution
227,a diverse community,object of study - indirect
228,data produced by contributors,none
229,OSM as a data source,none
230,OSM as a data source,none
231,a social product,acknowledgement
232,a social product,object of study - indirect
233,OSM as a data source,none
234,OSM as a data source,none
235,data produced by contributors,none
